COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
04015,AZ,INTERNAL MEDICINE,52,18510,139523.0
04015,AZ,NEUROLOGY,6,1176,11909.0
04015,AZ,PSYCHIATRY,5,627,4806.0
04015,AZ,PULMONARY DISEASE,3,1500,5730.0
04015,AZ,RHEUMATOLOGY,3,1385,123770.0
04017,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),2,234,760.0
04017,AZ,HEMATOLOGY/ONCOLOGY,3,378,32101.0
04017,AZ,INTERNAL MEDICINE,18,3287,15998.0
04017,AZ,NEUROLOGY,4,1234,2290.0
04017,AZ,PSYCHIATRY,5,127,922.0
04019,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),58,39776,156332.0
04019,AZ,ENDOCRINOLOGY,19,5501,30360.0
04019,AZ,HEMATOLOGY/ONCOLOGY,36,9891,1935910.0
04019,AZ,INTERNAL MEDICINE,330,66234,631646.0
04019,AZ,NEUROLOGY,60,14674,249873.2
04019,AZ,PSYCHIATRY,88,3442,25149.0
04019,AZ,PULMONARY DISEASE,37,11199,34249.0
04019,AZ,RHEUMATOLOGY,19,4966,451186.5
04021,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,5217,24489.0
04021,AZ,ENDOCRINOLOGY,3,767,13482.0
04021,AZ,HEMATOLOGY/ONCOLOGY,3,2204,484435.0
04021,AZ,INTERNAL MEDICINE,53,15071,90896.0
04021,AZ,NEUROLOGY,3,1841,12690.0
04021,AZ,PSYCHIATRY,9,49,232.0
04021,AZ,PULMONARY DISEASE,1,677,2260.0
04021,AZ,RHEUMATOLOGY,2,577,187464.0
04023,AZ,INTERNAL MEDICINE,5,392,2083.0
04023,AZ,PSYCHIATRY,1,51,82.0
04025,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),13,14537,48840.0
04025,AZ,HEMATOLOGY/ONCOLOGY,1,1179,374180.0
04025,AZ,INTERNAL MEDICINE,31,11288,72243.0
04025,AZ,NEUROLOGY,2,1031,45945.0
04025,AZ,PSYCHIATRY,5,292,3896.0
04025,AZ,PULMONARY DISEASE,1,2135,6735.0
04027,AZ,CARDIOVASCULAR DISEASE (CARDIOLOGY),11,8846,53412.0
04027,AZ,ENDOCRINOLOGY,3,775,2071.0
04027,AZ,HEMATOLOGY/ONCOLOGY,8,1070,25311.0
04027,AZ,INTERNAL MEDICINE,46,13377,362460.0
04027,AZ,NEUROLOGY,7,2071,33890.0
04027,AZ,PSYCHIATRY,5,306,946.0
04027,AZ,PULMONARY DISEASE,8,2829,116179.0
04027,AZ,RHEUMATOLOGY,3,1434,238995.0
05001,AR,INTERNAL MEDICINE,2,13,44.0
05001,AR,PSYCHIATRY,1,123,380.0
05001,AR,PULMONARY DISEASE,1,1173,5445.0
05003,AR,INTERNAL MEDICINE,3,551,1189.0
05003,AR,PULMONARY DISEASE,1,551,1861.0
05005,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),5,7891,27931.0
05005,AR,HEMATOLOGY/ONCOLOGY,1,126,164.0
05005,AR,INTERNAL MEDICINE,10,3847,26069.0
05005,AR,PSYCHIATRY,3,198,1994.0
05005,AR,PULMONARY DISEASE,2,1152,4322.0
05007,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),10,17592,46171.0
05007,AR,ENDOCRINOLOGY,3,1254,10360.0
05007,AR,HEMATOLOGY/ONCOLOGY,3,2929,600107.0
05007,AR,INTERNAL MEDICINE,61,14964,87849.0
05007,AR,NEUROLOGY,4,1031,2879.0
05007,AR,PSYCHIATRY,7,371,1975.0
05007,AR,PULMONARY DISEASE,6,3165,9677.0
05007,AR,RHEUMATOLOGY,2,570,56559.0
05009,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,183,1167.0
05009,AR,HEMATOLOGY/ONCOLOGY,1,0,0.0
05009,AR,INTERNAL MEDICINE,5,3610,23330.0
05009,AR,PSYCHIATRY,2,0,0.0
05009,AR,RHEUMATOLOGY,1,225,619.0
05015,AR,INTERNAL MEDICINE,7,1250,2748.0
05019,AR,HEMATOLOGY/ONCOLOGY,1,1257,368912.0
05019,AR,INTERNAL MEDICINE,3,795,5916.0
05023,AR,HEMATOLOGY/ONCOLOGY,2,1608,292210.0
05023,AR,INTERNAL MEDICINE,1,208,534.0
05023,AR,PSYCHIATRY,1,128,469.0
05027,AR,INTERNAL MEDICINE,6,1553,22562.0
05029,AR,INTERNAL MEDICINE,1,647,1985.0
05031,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),15,19385,53227.0
05031,AR,ENDOCRINOLOGY,1,837,3195.0
05031,AR,HEMATOLOGY/ONCOLOGY,4,1718,5471.0
05031,AR,INTERNAL MEDICINE,63,32574,104229.0
05031,AR,NEUROLOGY,7,2971,24993.0
05031,AR,PSYCHIATRY,14,1304,7851.0
05031,AR,PULMONARY DISEASE,7,3634,13678.0
05031,AR,RHEUMATOLOGY,4,1834,506651.0
05033,AR,HEMATOLOGY/ONCOLOGY,1,777,4530.0
05033,AR,INTERNAL MEDICINE,10,3946,40841.0
05033,AR,NEUROLOGY,3,1025,14757.0
05035,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),3,6632,48695.0
05035,AR,INTERNAL MEDICINE,14,4298,11884.0
05035,AR,PSYCHIATRY,2,40,212.0
05037,AR,PSYCHIATRY,1,48,296.0
05043,AR,INTERNAL MEDICINE,2,589,3394.0
05043,AR,PSYCHIATRY,2,190,1084.0
05043,AR,PULMONARY DISEASE,1,688,2335.0
05045,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),3,4481,32786.0
05045,AR,ENDOCRINOLOGY,3,488,2291.0
05045,AR,HEMATOLOGY/ONCOLOGY,1,726,264165.0
05045,AR,INTERNAL MEDICINE,32,9504,48666.0
05045,AR,NEUROLOGY,2,1468,3422.0
05045,AR,PSYCHIATRY,5,395,4296.0
05045,AR,PULMONARY DISEASE,7,4082,19834.0
05045,AR,RHEUMATOLOGY,2,866,200767.0
05049,AR,INTERNAL MEDICINE,2,693,19072.0
05051,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),8,7883,34721.0
05051,AR,ENDOCRINOLOGY,1,772,17250.0
05051,AR,INTERNAL MEDICINE,32,13808,573179.0
05051,AR,NEUROLOGY,3,1069,9074.0
05051,AR,PSYCHIATRY,4,152,1121.0
05051,AR,PULMONARY DISEASE,5,3426,14767.0
05055,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,440,4057.0
05055,AR,INTERNAL MEDICINE,1,291,1993.0
05055,AR,NEUROLOGY,1,406,842.0
05059,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,1198,2588.0
05059,AR,INTERNAL MEDICINE,3,813,2442.0
05059,AR,PSYCHIATRY,1,0,0.0
05061,AR,HEMATOLOGY/ONCOLOGY,1,1259,300348.0
05061,AR,PSYCHIATRY,1,30,54.0
05063,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),6,4592,12810.0
05063,AR,HEMATOLOGY/ONCOLOGY,2,714,2096.0
05063,AR,INTERNAL MEDICINE,12,3307,11700.0
05063,AR,NEUROLOGY,2,129,207.0
05063,AR,PSYCHIATRY,3,256,1667.0
