COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score,anomaly_type
16005,Idaho,RHEUMATOLOGY,16990,1,596,485705.0,16990.0,10453.0,13315.598760659872,1.6253707069740744,HIGH GAP,8.85,16005|RHEUMATOLOGY,0.0588581518540317,813.5762144053601,True,-1,-0.0429078865384883,shortage_anomaly
16027,Idaho,CARDIOVASCULAR DISEASE (CARDIOLOGY),129817,1,1541,2363.0,129817.0,10823.136363636364,15071.056217261126,11.994397523823125,CRITICAL GAP,65.31,16027|CARDIOVASCULAR DISEASE (CARDIOLOGY),0.007703151359221,1.53242542153048,True,-1,-0.0016956689563418,shortage_anomaly
16027,Idaho,RHEUMATOLOGY,46343,1,508,134109.0,46343.0,10453.0,13315.598760659872,4.433464077298384,CRITICAL GAP,24.14,16027|RHEUMATOLOGY,0.0215782318796797,263.475442043222,True,-1,-0.0743452138492025,shortage_anomaly
16055,Idaho,RHEUMATOLOGY,38607,3,1089,337050.0,12869.0,10453.0,13315.598760659872,1.231129819190663,HIGH GAP,6.7,16055|RHEUMATOLOGY,0.0777061154712876,309.2201834862385,True,-1,-0.0193299115700654,shortage_anomaly
17081,Illinois,RHEUMATOLOGY,7653,1,236,123233.0,7653.0,10453.0,13315.598760659872,0.7321343155075098,MODERATE GAP,3.99,17081|RHEUMATOLOGY,0.1306677120083627,519.9704641350211,True,-1,-0.0203746907866115,shortage_anomaly
17111,Illinois,RHEUMATOLOGY,59069,1,361,6314.0,59069.0,10453.0,13315.598760659872,5.650913613316751,CRITICAL GAP,30.77,17111|RHEUMATOLOGY,0.0169293538065652,17.441988950276244,True,-1,-0.0188059082469801,shortage_anomaly
17161,Illinois,RHEUMATOLOGY,28847,1,310,28418.0,28847.0,10453.0,13315.598760659872,2.7596862144838803,CRITICAL GAP,15.03,17161|RHEUMATOLOGY,0.0346656498076056,91.37620578778134,True,-1,-0.0220488809639934,shortage_anomaly
18035,Indiana,RHEUMATOLOGY,26897,1,706,90939.0,26897.0,10453.0,13315.598760659872,2.573136898498039,CRITICAL GAP,14.01,18035|RHEUMATOLOGY,0.0371788675316949,128.62659123055164,True,-1,-0.0224857569249471,shortage_anomaly
18039,Indiana,RHEUMATOLOGY,39758,2,841,148295.0,19879.0,10453.0,13315.598760659872,1.9017506935807904,HIGH GAP,10.35,18039|RHEUMATOLOGY,0.0503043412646511,176.12232779097388,True,-1,-0.0019225594959216,shortage_anomaly
18057,Indiana,RHEUMATOLOGY,63446,3,378,93404.0,21148.666666666668,10453.0,13315.598760659872,2.0232150259893493,CRITICAL GAP,11.02,18057|RHEUMATOLOGY,0.0472843047631056,246.4485488126649,True,-1,-0.024849800431443,shortage_anomaly
18059,Indiana,ENDOCRINOLOGY,33190,1,233,52354.0,33190.0,18070.0,22988.768286620067,1.8367459878251244,HIGH GAP,10.0,18059|ENDOCRINOLOGY,0.0301295570955106,223.73504273504275,True,-1,-0.0527132655841836,shortage_anomaly
19013,Iowa,ENDOCRINOLOGY,53421,1,0,0.0,53421.0,18070.0,22988.768286620067,2.9563364692861094,CRITICAL GAP,16.1,19013|ENDOCRINOLOGY,0.0187192302652514,0.0,True,-1,-0.017303555242725,shortage_anomaly
19113,Iowa,HEMATOLOGY/ONCOLOGY,14329,3,1442,411055.0,4776.333333333333,2055.6666666666665,2642.926682217817,2.32349602724177,CRITICAL GAP,12.65,19113|HEMATOLOGY/ONCOLOGY,0.2093656221648405,284.8613998613999,True,-1,-0.0053351227700099,shortage_anomaly
19113,Iowa,RHEUMATOLOGY,44322,4,1971,658485.0,11080.5,10453.0,13315.598760659872,1.0600306132210848,HIGH GAP,5.77,19113|RHEUMATOLOGY,0.0902486349893958,333.91734279918865,True,-1,-0.0154182887280369,shortage_anomaly
19155,Iowa,HEMATOLOGY/ONCOLOGY,5836,1,672,354740.0,5836.0,2055.6666666666665,2642.926682217817,2.838981676666126,CRITICAL GAP,15.46,19155|HEMATOLOGY/ONCOLOGY,0.1713502398903358,527.1025260029718,True,-1,-0.0192804865793878,shortage_anomaly
19163,Iowa,CARDIOVASCULAR DISEASE (CARDIOLOGY),93070,1,0,0.0,93070.0,10823.136363636364,15071.056217261126,8.599170967918054,CRITICAL GAP,46.82,19163|CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0107446008380788,0.0,True,-1,-0.0238271230477271,shortage_anomaly
