COUNTY_FIPS,PRIMARY SPECIALTY,avg_distance_to_provider,min_distance_to_provider,provider_count_in_county
06029,ENDOCRINOLOGY,10.848487076115177,1.696406997205776,8
06029,HEMATOLOGY/ONCOLOGY,9.995207401780348,1.696406997205776,16
06029,NEUROLOGY,6.857221296035675,3.9806180811984886,13
06029,PSYCHIATRY,11.563386005908416,1.696406997205776,66
06029,PULMONARY DISEASE,12.212628212791211,3.9806180811984886,15
06029,RHEUMATOLOGY,4.254092526924856,1.696406997205776,4
06031,CARDIOVASCULAR DISEASE (CARDIOLOGY),0.0,0.0,7
06031,ENDOCRINOLOGY,0.0,0.0,1
06031,NEUROLOGY,0.0,0.0,1
06031,PSYCHIATRY,0.0,0.0,2
06031,PULMONARY DISEASE,0.0,0.0,2
06033,CARDIOVASCULAR DISEASE (CARDIOLOGY),8.85027077805725,8.457605653843338,3
06033,ENDOCRINOLOGY,9.635601026485078,9.635601026485078,1
06033,NEUROLOGY,9.635601026485078,9.635601026485078,1
06033,PSYCHIATRY,8.653911746985143,7.475836967447949,8
06037,CARDIOVASCULAR DISEASE (CARDIOLOGY),11.894841530493222,0.20446452038654794,516
06037,ENDOCRINOLOGY,13.003310602305215,0.20446452038654794,202
06037,HEMATOLOGY/ONCOLOGY,11.78845126891026,0.20446452038654794,322
06037,NEUROLOGY,12.187041501095168,0.20446452038654794,556
06037,PSYCHIATRY,13.446435668253793,0.20446452038654794,923
06037,PULMONARY DISEASE,12.357340179039014,0.20446452038654794,292
06037,RHEUMATOLOGY,11.042050927348283,0.20446452038654794,189
06039,CARDIOVASCULAR DISEASE (CARDIOLOGY),10.29005202176195,10.177690216598458,3
06039,HEMATOLOGY/ONCOLOGY,5.576560378799164,5.576560378799164,1
06039,PSYCHIATRY,6.564203429457118,5.576560378799164,5
06039,RHEUMATOLOGY,5.576560378799164,5.576560378799164,1
06041,CARDIOVASCULAR DISEASE (CARDIOLOGY),6.514648582553089,2.0123261828856345,9
06041,ENDOCRINOLOGY,10.861957685359213,10.861957685359213,1
06041,HEMATOLOGY/ONCOLOGY,2.8186623061188882,2.34440453257395,6
06041,NEUROLOGY,8.587772434150285,2.0123261828856345,15
06041,PSYCHIATRY,4.048632908590634,2.0123261828856345,29
06041,PULMONARY DISEASE,5.044803699728287,2.7314169542262814,4
06041,RHEUMATOLOGY,6.796687319792747,2.7314169542262814,2
06043,PSYCHIATRY,0.0,0.0,2
06045,CARDIOVASCULAR DISEASE (CARDIOLOGY),15.909112011636207,13.73313517854586,7
06045,HEMATOLOGY/ONCOLOGY,16.729216493194134,13.73313517854586,2
06045,NEUROLOGY,13.73313517854586,13.73313517854586,1
